"OUTLET","CORRELATION","OUTLET_PRESS_SIZE","QUANTITY_OF_SEASONS","OUTLET_SOCIAL_SIZE","FINAL_INDEX","RANK"
"ew",9,6,10,9,8.5,1
"ign",7,8,9,9,8.2,2
"yahoo",8,9,10,5,8,3
"forbes",7,8,6,10,7.8,4
"imdb",6,10,7,8,7.8,4
"hollywoodreporter",8,6,9,7,7.5,5
"tvguide",8,6,10,6,7.5,5
"mashable",7,7,6,9,7.2,6
"rollingstone",7,6,7,9,7.2,6
"variety",8,4,10,7,7.2,6
"vanityfair",9,5,6,8,7,7
"deadline",7,5,10,5,6.8,8
"engadget",8,7,5,7,6.8,8
"gamespot",9,7,3,8,6.8,8
"gizmodo",10,8,2,7,6.8,8
"independent",8,8,4,7,6.8,8
"newyorktimes",7,5,8,7,6.8,8
"people",6,6,6,9,6.8,8
"buzzfeed",6,8,3,9,6.5,9
"verge",8,6,5,7,6.5,9
"wallstreetjournal",6,5,5,10,6.5,9
"cbr",8,6,3,8,6.2,10
"newsweek",9,5,2,9,6.2,10
"wrap",8,4,8,5,6.2,10
"avclub",6,6,8,4,6,11
"comicbook",8,5,7,4,6,11
"digitalspy",7,7,7,3,6,11
"huffingtonpost",9,8,6,1,6,11
"indiewire",6,4,8,6,6,11
"losangelestimes",5,5,7,7,6,11
"uproxx",8,5,9,2,6,11
"usweekly",7,5,5,7,6,11
"cnn",9,8,5,1,5.8,12
"salon",7,6,4,6,5.8,12
"tvline",6,5,9,3,5.8,12
"cinemablend",8,6,7,1,5.5,13
"dailybeast",5,6,5,6,5.5,13
"gamesradar",9,6,1,6,5.5,13
"nytimes",7,7,7,1,5.5,13
"usatoday",6,7,8,1,5.5,13
"vulture",6,4,8,4,5.5,13
"washingtonpost",6,7,8,1,5.5,13
"businessinsider",7,8,5,1,5.2,14
"cleveland",9,4,7,1,5.2,14
"comingsoon",7,3,9,2,5.2,14
"dailymail",6,9,5,1,5.2,14
"eonline",9,7,4,1,5.2,14
"fox",9,7,4,1,5.2,14
"ibtimes",8,5,6,2,5.2,14
"latimes",6,6,8,1,5.2,14
"newyorkdailynews",9,2,5,5,5.2,14
"popsugar",7,7,4,3,5.2,14
"refinery29",3,6,2,10,5.2,14
"screenrant",7,5,7,2,5.2,14
"bostonglobe",7,3,5,5,5,15
"bustle",7,6,6,1,5,15
"collider",7,3,8,2,5,15
"denofgeek",6,3,9,2,5,15
"hollywoodlife",6,5,5,4,5,15
"moviefone",9,5,5,1,5,15
"msn",7,8,4,1,5,15
"parade",7,6,6,1,5,15
"rottentomatoes",6,7,6,1,5,15
"time",7,6,6,1,5,15
"vogue",3,4,3,10,5,15
"wsj",6,7,6,1,5,15
"ajc",8,5,5,1,4.8,16
"aptv",10,6,2,1,4.8,16
"blastingnews",9,8,1,1,4.8,16
"broadwayworld",6,2,8,3,4.8,16
"digitaltrends",10,7,1,1,4.8,16
"examiner",9,5,4,1,4.8,16
"fandom",10,7,1,1,4.8,16
"goodmorningamerica",6,4,1,8,4.8,16
"huffingtonpostlive",9,8,1,1,4.8,16
"hypable",7,2,6,4,4.8,16
"inquisitr",7,5,6,1,4.8,16
"justjared",6,4,4,5,4.8,16
"metro",8,5,5,1,4.8,16
"moviepilot",9,4,5,1,4.8,16
"nbcnews",10,7,1,1,4.8,16
"sfgate",6,7,5,1,4.8,16
"thr",10,7,1,1,4.8,16
"tvinsider",7,2,8,2,4.8,16
"usnews",9,7,2,1,4.8,16
"vox",6,5,4,4,4.8,16
"wegotthiscovered",8,2,7,2,4.8,16
"cheatsheet",9,5,3,1,4.5,17
"conan",9,7,1,1,4.5,17
"heavy",8,5,4,1,4.5,17
"mercurynews",6,5,6,1,4.5,17
"nypost",7,5,5,1,4.5,17
"upi",8,4,5,1,4.5,17
"week",8,3,6,1,4.5,17
"411mania",8,3,5,1,4.2,18
"chron",7,7,2,1,4.2,18
"comicbookresources",7,2,5,3,4.2,18
"complex",5,5,6,1,4.2,18
"e!online",7,7,2,1,4.2,18
"fansided",7,3,6,1,4.2,18
"gq",4,4,3,6,4.2,18
"hiddenremote",7,1,5,4,4.2,18
"inquistr",10,5,1,1,4.2,18
"nerdist",5,3,6,3,4.2,18
"nydailynews",6,5,5,1,4.2,18
"oregonlive",6,4,6,1,4.2,18
"pastemagazine",5,3,6,3,4.2,18
"screencrush",7,1,7,2,4.2,18
"sheknows",10,4,2,1,4.2,18
"siriusxm",7,7,2,1,4.2,18
"telegraph",10,4,2,1,4.2,18
"tv",6,4,6,1,4.2,18
"usmagazine",6,7,3,1,4.2,18
"xfinity",7,8,1,1,4.2,18
"atlantic",6,5,4,1,4,19
"bleedingcool",6,2,6,2,4,19
"comicbookmovie",7,2,5,2,4,19
"dailydead",9,1,4,2,4,19
"decider",8,2,5,1,4,19
"flickeringmyth",7,2,5,2,4,19
"guardian",5,5,5,1,4,19
"metacritic",7,7,1,1,4,19
"mtv",8,4,3,1,4,19
"newsday",6,2,7,1,4,19
"nme",8,5,2,1,4,19
"oregonian",6,4,5,1,4,19
"orlandosentinel",6,3,6,1,4,19
"perezhilton",10,4,1,1,4,19
"slashfilm",5,4,6,1,4,19
"slate",7,5,3,1,4,19
"stltoday",6,6,3,1,4,19
"syfywire",9,3,3,1,4,19
"tvbynumbers",7,6,2,1,4,19
"tvfanatic",7,1,7,1,4,19
"wetpaint",10,4,1,1,4,19
"zap2it",7,3,5,1,4,19
"abcnews",6,5,3,1,3.8,20
"accesshollywood",7,2,5,1,3.8,20
"associatedpress",6,6,2,1,3.8,20
"bostonherald",8,2,4,1,3.8,20
"christianpost",6,3,5,1,3.8,20
"christiantoday",9,2,3,1,3.8,20
"craveonline",8,2,4,1,3.8,20
"darkhorizons",10,2,2,1,3.8,20
"esquire",5,4,5,1,3.8,20
"intouch",9,2,3,1,3.8,20
"io9",6,4,4,1,3.8,20
"joblo",6,2,5,2,3.8,20
"newyorkpost",6,2,6,1,3.8,20
"npr",4,7,3,1,3.8,20
"saltlaketribune",8,2,4,1,3.8,20
"today",6,5,3,1,3.8,20
"adweek",4,4,3,3,3.5,21
"broadcastingandcable",7,1,5,1,3.5,21
"buddytv",7,2,4,1,3.5,21
"cartermatt",6,1,6,1,3.5,21
"contracostatimes",10,1,2,1,3.5,21
"cynopsis",6,1,6,1,3.5,21
"dailynews",8,2,3,1,3.5,21
"elle",7,4,2,1,3.5,21
"entertainmenttonight",2,4,1,7,3.5,21
"epochtimes",9,3,1,1,3.5,21
"etonline",4,4,5,1,3.5,21
"extra",10,2,1,1,3.5,21
"futoncritic",6,1,6,1,3.5,21
"geek",9,2,2,1,3.5,21
"gettyimages",6,6,1,1,3.5,21
"guardianlv",10,2,1,1,3.5,21
"hitfix",6,2,5,1,3.5,21
"idigitaltimes",8,2,3,1,3.5,21
"jimmykimmellive",10,2,1,1,3.5,21
"latinpost",9,2,2,1,3.5,21
"mstarz",10,1,2,1,3.5,21
"mysanantonio",9,2,2,1,3.5,21
"nbcnewyork",8,4,1,1,3.5,21
"nerdcoremovement",9,1,3,1,3.5,21
"okmagazine",10,2,1,1,3.5,21
"orangecountyregister",7,2,4,1,3.5,21
"popculture",9,3,1,1,3.5,21
"seattletimes",4,4,5,1,3.5,21
"showsnob",10,1,2,1,3.5,21
"spoilertv",5,2,5,2,3.5,21
"stir",8,4,1,1,3.5,21
