"OUTLET","SEASON","CORRELATION","OUTLET_PRESS_SIZE","OUTLET_SOCIAL_SIZE","QUANTITY_OF_SEASONS","FINAL_INDEX","PROGRAM"
"yahoo","1",10,10,1,10,7.8,"BETTER CALL SAUL"
"huffingtonpost","1",10,9,1,10,7.5,"BETTER CALL SAUL"
"time","1",10,6,1,10,6.8,"BETTER CALL SAUL"
"tv","1",9,6,1,10,6.5,"BETTER CALL SAUL"
"cnn","1",7,8,1,8,6,"BETTER CALL SAUL"
"fox","1",7,7,1,9,6,"BETTER CALL SAUL"
"nbcnews","1",10,6,1,7,6,"BETTER CALL SAUL"
"nytimes","1",4,9,1,10,6,"BETTER CALL SAUL"
"people","1",8,5,1,10,6,"BETTER CALL SAUL"
"telegraph","1",10,5,1,8,6,"BETTER CALL SAUL"
"eonline","1",8,6,1,8,5.8,"BETTER CALL SAUL"
"examiner","1",9,6,1,7,5.8,"BETTER CALL SAUL"
"huffingtonpostlive","1",7,8,1,7,5.8,"BETTER CALL SAUL"
"siriusxm","1",5,8,1,9,5.8,"BETTER CALL SAUL"
"washingtonpost","1",7,5,1,10,5.8,"BETTER CALL SAUL"
"msn","1",4,9,1,8,5.5,"BETTER CALL SAUL"
"newsday","1",10,1,1,10,5.5,"BETTER CALL SAUL"
"parade","1",4,8,1,9,5.5,"BETTER CALL SAUL"
"xfinity","1",4,10,1,7,5.5,"BETTER CALL SAUL"
"digitaltrends","1",9,4,1,7,5.2,"BETTER CALL SAUL"
"forbes","1",4,8,1,8,5.2,"BETTER CALL SAUL"
"jimmykimmellive","1",10,3,1,7,5.2,"BETTER CALL SAUL"
"latimes","1",5,5,1,10,5.2,"BETTER CALL SAUL"
"sheknows","1",9,4,1,7,5.2,"BETTER CALL SAUL"
"wrap","1",7,3,1,10,5.2,"BETTER CALL SAUL"
"yahoo","2",10,10,1,10,7.8,"BETTER CALL SAUL"
"huffingtonpost","2",10,9,1,10,7.5,"BETTER CALL SAUL"
"time","2",10,6,1,10,6.8,"BETTER CALL SAUL"
"washingtonpost","2",7,8,1,10,6.5,"BETTER CALL SAUL"
"aptv","2",9,7,1,8,6.2,"BETTER CALL SAUL"
"telegraph","2",10,6,1,8,6.2,"BETTER CALL SAUL"
"tv","2",9,4,1,10,6,"BETTER CALL SAUL"
"eonline","2",8,6,1,8,5.8,"BETTER CALL SAUL"
"latimes","2",5,7,1,10,5.8,"BETTER CALL SAUL"
"forbes","2",4,9,1,8,5.5,"BETTER CALL SAUL"
"newsday","2",10,1,1,10,5.5,"BETTER CALL SAUL"
"nytimes","2",4,7,1,10,5.5,"BETTER CALL SAUL"
"people","2",8,3,1,10,5.5,"BETTER CALL SAUL"
"cheatsheet","2",8,4,1,8,5.2,"BETTER CALL SAUL"
