"OUTLET","CORRELATION","OUTLET_PRESS_SIZE","QUANTITY_OF_SEASONS","OUTLET_SOCIAL_SIZE","FINAL_INDEX","SEASON","PROGRAM"
"gamespot",9,7,3,8,6.8,"1","BETTER CALL SAUL"
"gizmodo",10,8,2,7,6.8,"1","BETTER CALL SAUL"
"cbr",8,6,3,8,6.2,"1","BETTER CALL SAUL"
"newsweek",9,5,2,9,6.2,"1","BETTER CALL SAUL"
"popsugar",7,7,4,3,5.2,"1","BETTER CALL SAUL"
"refinery29",3,6,2,10,5.2,"1","BETTER CALL SAUL"
"collider",7,3,8,2,5,"1","BETTER CALL SAUL"
"ajc",8,5,5,1,4.8,"1","BETTER CALL SAUL"
"aptv",10,6,2,1,4.8,"1","BETTER CALL SAUL"
"blastingnews",9,8,1,1,4.8,"1","BETTER CALL SAUL"
"fandom",10,7,1,1,4.8,"1","BETTER CALL SAUL"
"justjared",6,4,4,5,4.8,"1","BETTER CALL SAUL"
"sfgate",6,7,5,1,4.8,"1","BETTER CALL SAUL"
"thr",10,7,1,1,4.8,"1","BETTER CALL SAUL"
"usnews",9,7,2,1,4.8,"1","BETTER CALL SAUL"
"cheatsheet",9,5,3,1,4.5,"1","BETTER CALL SAUL"
"conan",9,7,1,1,4.5,"1","BETTER CALL SAUL"
"heavy",8,5,4,1,4.5,"1","BETTER CALL SAUL"
"411mania",8,3,5,1,4.2,"1","BETTER CALL SAUL"
"chron",7,7,2,1,4.2,"1","BETTER CALL SAUL"
"e!online",7,7,2,1,4.2,"1","BETTER CALL SAUL"
"hiddenremote",7,1,5,4,4.2,"1","BETTER CALL SAUL"
"inquistr",10,5,1,1,4.2,"1","BETTER CALL SAUL"
"usmagazine",6,7,3,1,4.2,"1","BETTER CALL SAUL"
"bleedingcool",6,2,6,2,4,"1","BETTER CALL SAUL"
"imdb",6,10,7,8,7.8,"2","BETTER CALL SAUL"
"mashable",7,7,6,9,7.2,"2","BETTER CALL SAUL"
"engadget",8,7,5,7,6.8,"2","BETTER CALL SAUL"
"gamespot",9,7,3,8,6.8,"2","BETTER CALL SAUL"
"gizmodo",10,8,2,7,6.8,"2","BETTER CALL SAUL"
"newyorktimes",7,5,8,7,6.8,"2","BETTER CALL SAUL"
"buzzfeed",6,8,3,9,6.5,"2","BETTER CALL SAUL"
"cbr",8,6,3,8,6.2,"2","BETTER CALL SAUL"
"newsweek",9,5,2,9,6.2,"2","BETTER CALL SAUL"
"comicbook",8,5,7,4,6,"2","BETTER CALL SAUL"
"digitalspy",7,7,7,3,6,"2","BETTER CALL SAUL"
"cnn",9,8,5,1,5.8,"2","BETTER CALL SAUL"
"tvline",6,5,9,3,5.8,"2","BETTER CALL SAUL"
